市町村名,ゴミ名称,カテゴリー(台所ごみ / 電気製品など),分別 (燃えるごみ / 燃えないごみなど),備考 (ゴミごとに固有のもののみ)
大和郡山市,ICレコーダー,小型電気製品,使用済小型家電,公共施設の回収ボックスへ
大和郡山市,アイスまくら,ホーム,燃えるごみ,
大和郡山市,アイロン,小型電気製品,粗大ごみ,
大和郡山市,アイロン台,ホーム,粗大ごみ,
大和郡山市,空き缶,ホーム,燃えないごみ(カン・ビン),
大和郡山市,アコーディオンカーテン,ホーム,粗大ごみ,自分で交換したもの
大和郡山市,アタッシェケース,DIY・工具・ガーデン,粗大ごみ,
大和郡山市,油の容器(プラスチック製),食品・飲料,燃えるごみ,
大和郡山市,編み機,小型電気製品,粗大ごみ,
大和郡山市,網戸,ホーム,粗大ごみ,自分で交換したもの(少重)
大和郡山市,アルバム,ホーム,燃えるごみ,厚みのあるものは粗大ゴミ
大和郡山市,アルミホイール(自動車),乗り物,市では収集できません,自動車販売店、用品店に相談してください
大和郡山市,泡立て機(手動),キッチン,燃えないごみ,電動は粗大ごみ
大和郡山市,安全靴,DIY・工具・ガーデン,粗大ごみ,
大和郡山市,アンテナ,ホーム,粗大ごみ,"自分で交換したもの
1メートル以内にたたんで縛る"
大和郡山市,石,DIY・工具・ガーデン,市では収集できません,
大和郡山市,衣装ケース(金属・プラスチック),ホーム,粗大ごみ,販売店、購入店に相談してください
大和郡山市,いす(木製),ホーム,粗大ごみ,
大和郡山市,一輪車(運搬用・子供用),乗り物,粗大ごみ,家庭用のものに限る
大和郡山市,ー升瓶(酒・しようゆ等),ホーム,燃えないごみ(カン・ビン),できるだけ販売店、購入店でリサイクルしてください
大和郡山市,一斗缶,ホーム,粗大ごみ,中身を空にする
大和郡山市,犬小屋(木製、プラスチック製),DIY・工具・ガーデン,粗大ごみ,
大和郡山市,イヤフォン,小型電気製品,使用済小型家電,公共施設の回収ボックスへ
大和郡山市,衣類,ファッション＆アクセサリー,資源ごみ,
大和郡山市,衣類乾燥機,大型電気製品,市では収集できません,「特定家電品」PI 0参照
大和郡山市,入れ歯,ホーム,燃えるごみ,
大和郡山市,植木鉢(少重・陶磁器製),DIY・工具・ガーデン,燃えないごみ,多量であれば、直接持ち込み
大和郡山市,植木鉢(少重・プラスチック製),DIY・工具・ガーデン,燃えるごみ,多量であれば、直接持ち込み
大和郡山市,うちわ,ホーム,燃えるごみ,
大和郡山市,ウッドカーベット,ホーム,粗大ごみ,
大和郡山市,腕時計,ファッション＆アクセサリー,燃えないごみ,
大和郡山市,工アコン,大型電気製品,市では収集できません,「特定家電品」PI 0参照
大和郡山市,ACアダブタ,PC・周辺機器,使用済小型家電,公共施設の回収ボックスへ
大和郡山市,液晶ディスプレイ(パソコン用、家庭用に限る),PC・周辺機器,使用済小型家電,公共施設の回収ボックスへ
大和郡山市,絵の具,ホビー,燃えるごみ,投入口に入らないものは清掃センターへお問い合わせください
大和郡山市,MD (ミ二ディスク) (少重),小型電気製品,燃えるごみ,
大和郡山市,MD (ミ二ディスワ) プレーヤー,小型電気製品,使用済小型家電,多重であれば直接持ち込み
大和郡山市,エレクトーン,楽器・音響機器,粗大ごみ,公共施設の回収ボックスへ
大和郡山市,延長コード,小型電気製品,粗大ごみ,
大和郡山市,鉛筆,文房具・オフィス用品,燃えるごみ,
大和郡山市,鉛筆削り(電動),小型電気製品,粗大ゴミ,手動は燃えないごみ
大和郡山市,オイル(自動車・単車),乗り物,市では収集できません,自動車販売店、用品店、ガソリンスタンドなどに相談してください
大和郡山市,オイルヒーター,ホーム,市では収集できません,メー力ー、販売店、購入店に相談してください
大和郡山市,オーディオ機器,楽器・音響機器,使用済み小型家電,"公共施設の回収ボックスへ
投入口に入らないものは清掃センターへお問い合わせください"
大和郡山市,おまる,ベビー＆マタニティ用品,粗大ごみ,
大和郡山市,おもちゃ類(紙、木、プラスチック),おもちゃ,燃えるごみ,多重であれば直接持ち込み、大型は粗大ごみ
大和郡山市,おもちゃ類(金属製),おもちゃ,燃えないごみ,多重であれば直接持ち込み、大型は粗大ごみ
大和郡山市,オルガン,楽器・音響機器,粗大ごみ,
大和郡山市,温水器,大型電気製品,市では収集できません,販売店、購入店に相談してください
大和郡山市,温度計,ホーム,有害ごみ,電子式は燃えないごみ
大和郡山市,カーステレオ,小型電気製品,使用済小型家電,"公共施設の回収ボックス
投入口に入らないものは清掃センターへお問い合わせください"
大和郡山市,カーテン,ホーム,粗大ごみ,持込の場合は重さで料金計算
大和郡山市,カーナビ,小型電気製品,使用済小型家電,"公共施設の回収ボックス
投入口に入らないものは清掃センターへお問い合わせください"
大和郡山市,カーベット,ホーム,粗大ごみ,
大和郡山市,懐中電灯,小型電気製品,使用済小型家電,"乾電池を抜いて、公共施設の回収ボックスへ
乾電池は有害ごみへ"
大和郡山市,鏡,ホーム,有害ごみ,
大和郡山市,鏡(姿見),ホーム,粗大ごみ,
大和郡山市,学習机(木製・スチール製),ホーム,粗大ごみ,
大和郡山市,額縁(がくぶち),ホーム,粗大ごみ,
大和郡山市,傘(かさ),ホーム,粗大ごみ,
大和郡山市,加湿器,小型電気製品,粗大ごみ,
大和郡山市,ガスコンロ(ガスレンジ),キッチン,粗大ごみ,
大和郡山市,カセットコンロ,キッチン,粗大ごみ,
大和郡山市,カセットガスポンべ,キッチン,燃えないごみ(カン・ビン),使い切って穴をあけてください
大和郡山市,カセットテープ(少量),小型電気製品,燃えるごみ,多重であれば直接持ち込み
大和郡山市,ガソリン,ホーム,市では収集できません,ガソリンスタンドなど販売店に相談してください
大和郡山市,カッターナイフ,文房具・オフィス用品,燃えないごみ,紙に包んでください
